MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
SC20,RL,4.262679877041316,9.32,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1.791759469228055,7.583756300707112,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.810142450115136,Unf,0.0,4.90527477843843,6.947937068614969,GasA,Ex,Y,SBrkr,6.947937068614969,0.0,0.0,6.947937068614969,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,TA,1.791759469228055,Typ,0.0,Missing,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,Feb,2008,WD,Normal,193497.45
SC60,RL,4.454347296253507,9.39,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,1.791759469228055,7.603897968521881,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5.659482215759621,Ex,TA,PConc,Ex,TA,No,GLQ,6.906754778648554,Unf,0.0,5.181783550292085,7.069874128458572,GasA,Ex,Y,SBrkr,7.075808863978387,7.04141166379481,0.0,7.751475318021456,0.6931471805599453,0.0,3,0.0,4,0.6931471805599453,Ex,2.4849066497880004,Typ,1.0986122886681098,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,4.997212273764115,3.091042453358316,0.0,0.0,0.0,0.0,None,None,None,0.0,Jul,2006,New,Partial,98406.08
SC20,RL,4.338597076746545,9.47,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1.9459101490553128,7.582229194276461,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.6039438246004725,Unf,0.0,5.170483995038151,6.816735880594968,GasA,TA,Y,SBrkr,6.816735880594968,0.0,0.0,6.816735880594968,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,TA,1.6094379124341005,Typ,0.0,Missing,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0.0,None,None,None,0.0,Sep,2008,WD,Normal,96943.15
SC20,RL,4.5217885770490405,9.27,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,1.791759469228055,7.604396348796338,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,7.309881485824786,7.309881485824786,GasA,Ex,Y,SBrkr,7.309881485824786,0.0,0.0,7.309881485824786,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.079441541679836,Typ,0.6931471805599453,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0.0,None,None,None,0.0,Aug,2007,New,Partial,148813.84
SC20,RL,4.231203744939298,9.3,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1.791759469228055,7.581209826196346,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,TA,TA,CBlock,TA,TA,No,BLQ,6.598509028614515,Unf,0.0,6.255750041753367,7.134093721192866,GasA,TA,Y,SBrkr,7.134093721192866,0.0,0.0,7.134093721192866,0.6931471805599453,0.0,1,0.6931471805599453,2,0.6931471805599453,TA,1.791759469228055,Typ,0.6931471805599453,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0.0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,None,GdWo,None,0.0,May,2008,WD,Normal,116097.82
SC45,RM,3.951243718581428,8.72,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,2.19722457733622,7.5652752818989315,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.725033642166843,6.725033642166843,GasA,Ex,Y,FuseA,6.75110146893676,0.0,0.0,6.75110146893676,0.0,0.0,1,0.0,2,0.6931471805599453,TA,1.791759469228055,Typ,0.0,Missing,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,0.0,None,GdPrv,None,0.0,Jul,2007,WD,Normal,382602.78
SC20,RL,4.338597076746545,9.33,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,2.079441541679836,7.58629630715272,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,0.0,6.056784013228625,6.912742820493176,GasA,Ex,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,TA,1.791759469228055,Typ,0.6931471805599453,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,Shed,6.55250788703459,Mar,2010,WD,Normal,264769.3
SC90,RL,4.290459441148391,9.29,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,1.791759469228055,7.584773077612199,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,TA,Y,SBrkr,7.167809184316444,0.0,0.0,7.167809184316444,0.0,0.0,2,0.0,2,1.0986122886681098,TA,1.9459101490553128,Typ,0.0,Missing,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,Shed,6.2166061010848646,Oct,2006,WD,Normal,288595.22
SC20,RL,4.204692619390966,9.52,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,1.791759469228055,7.60339933974067,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.472346294500901,Unf,0.0,6.150602768446279,7.016609683894219,GasA,Ex,Y,SBrkr,7.016609683894219,0.0,0.0,7.016609683894219,0.6931471805599453,0.0,1,0.6931471805599453,3,0.6931471805599453,Gd,1.9459101490553128,Typ,0.0,Missing,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0.0,4.634728988229636,0.0,0.0,0.0,0.0,None,None,None,0.0,Jun,2008,WD,Normal,258665.78
SC20,RL,4.262679877041316,8.93,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1.9459101490553128,7.580189417944541,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,6.22455842927536,Unf,0.0,6.26530121273771,6.937314081223682,GasA,TA,Y,SBrkr,7.200424892944957,0.0,0.0,7.200424892944957,0.0,0.0,1,0.0,3,0.6931471805599453,TA,1.9459101490553128,Min1,0.0,Missing,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,May,2009,COD,Abnorml,495698.7
SC60,RL,4.624972813284271,9.56,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,1.791759469228055,7.603897968521881,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.055312843339752,7.055312843339752,GasA,Ex,Y,SBrkr,7.055312843339752,7.105786129481271,0.0,7.773594467360194,0.0,0.0,3,0.6931471805599453,4,0.6931471805599453,Gd,2.302585092994046,Typ,0.6931471805599453,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,None,None,None,0.0,Nov,2006,New,Partial,327957.44
SC45,RM,4.060443010546419,8.92,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,2.079441541679836,7.565793282428515,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,6.45833828334479,6.45833828334479,GasA,Ex,Y,FuseF,7.011213987350367,0.0,0.0,7.011213987350367,0.0,0.0,1,0.0,3,0.6931471805599453,Gd,1.9459101490553128,Typ,0.6931471805599453,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,0.0,0.0,5.327876168789581,0.0,0.0,0.0,None,GdPrv,None,0.0,Jun,2007,WD,Normal,208726.05
SC20,RL,4.330733340286331,9.18,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,1.791759469228055,7.602401335665818,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.48324441607385,7.48324441607385,GasA,Ex,Y,SBrkr,7.493317248862145,0.0,0.0,7.493317248862145,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.079441541679836,Typ,0.6931471805599453,Gd,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0.0,None,None,None,0.0,Sep,2008,WD,Normal,175678.05
SC120,RM,3.80666248977032,8.35,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,2.079441541679836,7.589335823170617,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.734591659972948,Unf,0.0,5.303304908059076,6.947937068614969,GasA,TA,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,TA,1.9459101490553128,Typ,0.6931471805599453,TA,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0.0,None,None,None,0.0,Jun,2007,WD,Normal,167344.42
SC20,RL,4.189654742026425,9.02,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,2.19722457733622,7.585281078639126,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,5.241747015059643,ALQ,6.505784060128229,5.3230099791384085,6.966967138613983,GasA,Ex,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,Gd,1.9459101490553128,Typ,0.6931471805599453,TA,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,6.008813185442595,4.51085950651685,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,May,2010,WD,Normal,174726.84
SC20,RL,4.709530201312334,9.56,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,1.791759469228055,7.60489448081162,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.46302945692067,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.356918242356021,7.356918242356021,GasA,Ex,Y,SBrkr,7.378383712996714,0.0,0.0,7.378383712996714,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.079441541679836,Typ,0.6931471805599453,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0.0,4.04305126783455,0.0,0.0,0.0,0.0,None,None,None,0.0,Jul,2009,WD,Normal,193386.31
SC20,RL,4.110873864173311,8.88,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,2.079441541679836,7.576609766973037,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,5.459585514144159,Rec,6.18826412308259,5.198497031265826,6.803505257608338,GasA,TA,Y,SBrkr,6.803505257608338,0.0,0.0,6.803505257608338,0.0,0.6931471805599453,1,0.0,3,0.6931471805599453,Gd,1.791759469228055,Typ,0.0,Missing,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,5.407171771460119,3.49650756146648,0.0,0.0,0.0,0.0,None,None,None,0.0,May,2010,WD,Normal,336935.53
SC20,RL,4.59511985013459,9.35,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,1.791759469228055,7.60489448081162,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,0.0,6.18826412308259,7.4413203897176174,GasA,Ex,Y,SBrkr,7.4413203897176174,0.0,0.0,7.4413203897176174,0.6931471805599453,0.0,2,0.0,3,0.6931471805599453,Gd,2.079441541679836,Typ,0.6931471805599453,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,None,None,None,0.0,May,2010,WD,Normal,236948.02
SC20,RL,3.871201010907891,9.7,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1.9459101490553128,7.579678823090456,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,7.15305163493748,Unf,0.0,5.337538079701318,7.3031700512368,GasA,TA,Y,SBrkr,7.378383712996714,0.0,0.0,7.378383712996714,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,TA,1.9459101490553128,Typ,1.0986122886681098,Gd,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,5.666426688112432,5.556828061699537,0.0,0.0,0.0,0.0,None,None,None,0.0,Dec,2006,WD,Normal,212009.12
SC30,RM,4.110873864173311,8.75,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,1.9459101490553128,7.564238475170491,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.255750041753367,6.255750041753367,GasA,Fa,N,SBrkr,6.255750041753367,0.0,0.0,6.255750041753367,0.0,0.0,1,0.0,1,0.6931471805599453,Fa,1.6094379124341005,Typ,0.0,Missing,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,3.912023005428146,0.0,4.477336814478207,0.0,0.0,0.0,None,None,None,0.0,May,2008,WD,Normal,227208.94
SC70,C (all),3.9318256327243257,9.05,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,1.6094379124341005,7.560601162768557,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.476972362889683,6.476972362889683,GasA,TA,N,SBrkr,6.476972362889683,6.505784060128229,0.0,7.183870715062453,0.0,0.0,1,0.0,3,0.6931471805599453,TA,1.9459101490553128,Typ,0.0,Missing,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,0.0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,None,MnPrv,None,0.0,Jul,2008,WD,Normal,190462.19
SC20,RL,4.341204640153626,9.05,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1.9459101490553128,7.584264818389059,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,7.113956109566034,7.113956109566034,GasA,Gd,Y,SBrkr,7.113956109566034,0.0,0.0,7.113956109566034,0.0,0.0,1,0.6931471805599453,3,0.6931471805599453,Gd,1.9459101490553128,Typ,0.0,Missing,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,0.0,4.189654742026425,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,Jun,2008,WD,Normal,89623.66
SC20,RL,4.454347296253507,9.31,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,1.791759469228055,7.60489448081162,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.118826249062078,7.118826249062078,GasA,Ex,Y,SBrkr,7.118826249062078,0.0,0.0,7.118826249062078,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.079441541679836,Typ,0.0,Missing,Attchd,2007.0,RFn,2.0,484.0,TA,TA,Y,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,None,None,None,0.0,Jan,2008,WD,Normal,190439.48
SC20,RL,4.262679877041316,9.26,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1.791759469228055,7.580699752224563,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.926577033222725,Unf,0.0,5.942799375126701,7.243512974665482,GasA,Gd,Y,SBrkr,7.438971592395862,0.0,0.0,7.438971592395862,0.0,0.6931471805599453,1,0.6931471805599453,4,0.6931471805599453,Gd,1.9459101490553128,Typ,0.6931471805599453,Gd,Attchd,1959.0,RFn,2.0,447.0,TA,TA,Y,0.0,3.6635616461296463,0.0,0.0,0.0,0.0,None,None,None,0.0,Apr,2010,WD,Normal,293558.7
